id,legacy_date_found,legacy_time_found,location,item_type,description,legacy_status,entered_by,updated_by,found_by,created_at,updated_at,image_url,legacy_claimed_by,where_found,date_found,datetime_found,claimed_by,purged,claimed
9002,,,moffitt 4th fl entrance,wallet,Kate Spade gray,,Jon Doe,Jon Doe,Patron,2024-11-15 02:13:52.977472,2024-11-15 03:05:14.75276,,,Moff 5 Girl's Bathroom,2024-11-14,2024-11-15 02:00:00,Patron,f,t
9003,,,moffitt 3rd fl entrance,other ,White bag with black cat on it and Tupperware inside ,,Jon Doe,Jon Doe,Security,2024-11-15 08:22:48.521878,2024-11-15 08:22:48.521878,,,Moffit classroom 106,2024-11-14,2024-11-15 07:00:00,,f,f
9004,,,doe south entrance,earbuds/headphones,"airpods pro gen 2 case, no airpods, blue/green case",,Jon Doe,Jon Doe,Patron,2024-11-15 18:24:09.050613,2024-11-15 22:38:57.389656,,,Moffitt 4 Booths,2024-11-15,2024-11-15 18:23:00,Jon Doe,f,t
9005,,,doe south entrance,wallet,coral pink lululemon pouch / light pink pouch w/ CAL ID Jon Doe,,Jon Doe,Jon Doe,Patron,2024-11-15 19:20:05.14337,2024-11-15 20:14:14.507626,,,Bancroft Entrance,2024-11-15,2024-11-15 19:20:00,Jon Doe,f,t
9006,,,moffitt 4th fl entrance,other,"Black long umbrella ""ACEIken""",,Jon Doe,Jon Doe,Student,2024-11-16 03:18:08.567676,2024-11-16 03:18:08.567676,,,4th Floor Moffitt,2024-11-15,2024-11-16 03:18:00,,f,f
9007,,,moffitt 4th fl entrance,water bottles,Grey water bottle ,,Jon Doe,Jon Doe,security,2024-11-16 06:23:24.102603,2024-11-16 06:23:24.102603,,,Mofitt 4,2024-11-15,2024-11-16 06:23:00,,f,f
9008,,,moffitt 4th fl entrance,other,black laptop case ,,Jon Doe,Jon Doe,security,2024-11-16 06:25:09.954798,2024-11-16 06:25:09.954798,,,Mofitt 4,2024-11-15,2024-11-16 06:24:00,,f,f
9009,,,moffitt 4th fl entrance,earbuds/headphones,piece of white earbud,,Jon Doe,Jon Doe,security,2024-11-16 06:28:00.143394,2024-11-16 06:28:00.143394,,,Mofitt 4,2024-11-15,2024-11-16 06:27:00,,f,f
9010,,,doe south entrance,phone,iphone X with a thick black case,,Jon Doe,Jon Doe,patron,2024-11-19 01:03:16.75841,2024-11-19 01:03:16.75841,,,Doe South bathroom,2024-11-18,2024-11-19 01:02:00,,f,f
9011,,,doe south entrance,cal1 id card,Cal 1 Card Emily Jon Doe,,Jon Doe,Jon Doe,Staff,2024-11-19 06:22:43.860993,2024-11-20 19:15:45.606217,,,Moffitt 3rd floor,2024-11-18,,,f,f
9012,,,doe south entrance,wallet,Tumi black wallet/ ID belonging to Jon Doe,,Jon Doe,Jon Doe,Patron,2024-11-20 00:49:31.169544,2024-11-20 19:54:32.758871,,,Moffitt 4th floor,2024-11-19,2024-11-20 00:48:00,Jon Doe,f,t
9013,,,doe south entrance,cal1 id card,Jon Doe,,Jon Doe,Jon Doe,student,2024-11-20 04:04:54.504586,2024-11-21 21:23:00.038358,,,Anna Brew,2024-11-19,2024-11-20 04:02:00,Jon Doe,f,t
9014,,,doe south entrance,other ,"Medium to large orange pencil bag with breakfast doodles on it (butter, milk, eggs)",,Jon Doe,Jon Doe,Security,2024-11-20 05:17:24.844114,2024-11-20 05:17:24.844114,,,Doe Reading Room,2024-11-19,2024-11-20 05:10:00,,f,f
9015,,,moffitt 4th fl entrance,cal1 id card,cal1 id card,,Jon Doe,Jon Doe,student ,2024-11-20 06:17:21.035084,2024-11-20 06:17:21.035084,,,moffit 4,2024-11-19,2024-11-20 06:14:00,,f,f
9016,,,doe south entrance,"electronic device accessories (including chargers, flash drives, dongles/docking stations, etc.)",box part of charger,,Jon Doe,Jon Doe,Supervisor,2024-11-20 12:40:05.704402,2024-11-20 19:21:34.657674,,,Moffitt Fifth ,2024-11-20,2024-11-20 12:39:00,,f,f
9017,,,moffitt 3rd fl entrance,other ,Black Columbia lunch bag ,,Jon Doe,Jon Doe,Patron,2024-11-20 17:43:08.1537,2024-11-20 17:43:08.1537,,,Moff Classrooms,2024-11-20,2024-11-20 17:43:00,,f,f
9018,,,doe south entrance,public transit cards,"Clipper card, April mendez",,Jon Doe,Jon Doe,patron ,2024-11-20 19:17:58.808984,2024-11-20 19:17:58.808984,,,??,2024-11-20,,,f,f
9019,,,doe south entrance,cal1 id card,"cal id, Jon Doe",,Jon Doe,Jon Doe,patron,2024-11-20 19:22:22.879689,2024-11-21 17:35:57.662303,,,Moff 4,2024-11-20,2024-11-20 11:48:00,Jon Doe,f,t
9020,,,doe south entrance,glasses/sunglasses,"Blue glasses case, round green metallic frames ",,Jon Doe,Jon Doe,Patron,2024-11-20 19:26:51.489477,2024-11-20 19:26:51.489477,,,moff 3,2024-11-20,2024-11-20 18:30:00,,f,f
9021,,,doe south entrance,glasses/sunglasses,Tortoise Shell Rectangular glasses,,Jon Doe,Jon Doe,Patron,2024-11-20 19:28:27.722051,2024-11-20 19:28:27.722051,,,Outside Moff 4,2024-11-20,2024-11-20 19:28:00,,f,f
